DATE,OPEN,HIGH,LOW,CLOSE,VOLUME
2006-11-22 0:00,"34,950","35,800","34,950","35,750","3,459,669"
2006-11-23 0:00,"35,900","35,950","35,400","35,600","2,666,078"
2006-11-24 0:00,"35,550","35,650","35,000","35,650","2,390,727"
2006-11-27 0:00,"35,500","35,600","35,000","35,400","3,022,008"
2006-11-28 0:00,"34,600","35,100","34,600","34,800","2,755,030"
2006-11-29 0:00,"34,950","35,250","34,900","35,050","2,080,426"
2006-11-30 0:00,"35,600","35,850","35,300","35,300","2,399,904"
2006-12-01 0:00,"35,450","36,100","35,150","36,050","3,049,086"
2006-12-04 0:00,"35,900","36,750","35,800","36,450","4,268,006"
2006-12-05 0:00,"36,950","37,500","36,550","36,550","5,162,364"
2006-12-06 0:00,"36,950","36,950","35,750","36,400","3,621,729"
2006-12-07 0:00,"36,250","36,600","36,150","36,350","2,247,778"
2006-12-08 0:00,"35,800","35,850","34,900","35,000","6,501,090"
2006-12-11 0:00,"35,000","35,550","34,950","35,350","3,018,348"
2006-12-12 0:00,"35,250","35,350","34,400","34,600","3,554,225"
2006-12-13 0:00,"34,500","35,100","34,400","34,850","3,018,846"
2006-12-14 0:00,"34,850","35,900","34,700","35,800","5,766,215"
2006-12-15 0:00,"35,950","36,600","35,800","36,250","3,813,327"
2006-12-18 0:00,"36,500","36,800","36,050","36,450","2,817,132"
2006-12-19 0:00,"36,500","36,600","35,850","35,950","2,532,841"
2006-12-20 0:00,"36,100","36,600","36,000","36,400","2,656,915"
2006-12-21 0:00,"36,600","36,750","36,150","36,150","2,119,546"
2006-12-22 0:00,"36,050","36,400","35,900","36,150","2,271,161"
2006-12-26 0:00,"36,000","36,100","35,350","35,750","2,545,108"
2006-12-27 0:00,"36,000","36,400","35,800","36,250","1,992,596"
2006-12-28 0:00,"36,800","36,800","36,400","36,450","2,471,070"
2007-01-02 0:00,"36,900","37,550","36,700","37,300","4,461,871"
2007-01-03 0:00,"37,550","37,700","36,950","36,950","3,827,777"
2007-01-04 0:00,"37,100","37,550","36,850","37,150","4,410,444"
2007-01-05 0:00,"37,400","37,550","36,400","37,400","5,935,841"
2007-01-08 0:00,"37,200","37,350","36,500","36,650","3,436,598"
2007-01-09 0:00,"36,750","37,100","36,500","36,650","2,737,071"
2007-01-10 0:00,"37,000","37,100","36,100","36,550","4,068,429"
2007-01-11 0:00,"36,850","36,950","36,100","36,200","5,257,628"
2007-01-12 0:00,"36,450","36,550","35,600","36,400","5,912,235"
2007-01-15 0:00,"36,500","37,000","36,350","36,500","3,382,575"
2007-01-16 0:00,"36,400","36,500","35,650","35,850","3,723,261"
2007-01-17 0:00,"35,800","35,800","34,250","34,250","7,921,034"
2007-01-18 0:00,"34,150","34,350","33,700","33,850","5,698,619"
2007-01-19 0:00,"33,100","33,250","31,850","32,200","10,996,085"
2007-01-22 0:00,"32,250","33,200","32,200","32,900","5,248,127"
2007-01-23 0:00,"32,550","33,300","32,500","32,700","3,365,091"
2007-01-24 0:00,"32,750","33,950","32,750","33,800","3,656,330"
2007-01-25 0:00,"34,300","34,350","33,500","33,550","2,286,870"
2007-01-26 0:00,"33,100","33,250","32,450","32,950","4,348,101"
2007-01-29 0:00,"33,100","33,250","31,550","31,700","9,079,898"
2007-01-30 0:00,"31,500","31,950","31,100","31,800","6,707,433"
2007-01-31 0:00,"32,600","32,700","31,000","31,250","7,786,100"
2007-02-01 0:00,"31,200","31,550","30,750","31,150","8,183,670"
2007-02-02 0:00,"31,300","32,250","31,250","32,000","7,718,965"
2007-02-05 0:00,"32,400","32,700","32,200","32,550","5,205,451"
2007-02-06 0:00,"32,600","32,650","31,950","32,250","5,770,431"
2007-02-07 0:00,"32,250","32,550","31,750","32,050","5,169,719"
2007-02-08 0:00,"32,350","32,500","31,450","31,700","5,318,148"
2007-02-09 0:00,"31,550","32,000","31,350","31,500","4,432,259"
2007-02-12 0:00,"30,900","31,100","30,250","30,800","7,594,356"
2007-02-13 0:00,"30,600","31,200","30,550","30,850","3,762,304"
2007-02-14 0:00,"31,150","31,300","30,900","31,100","4,785,225"
2007-02-15 0:00,"31,850","32,000","31,300","31,300","4,176,890"
2007-02-16 0:00,"31,500","32,000","31,100","31,900","5,532,048"
2007-02-20 0:00,"32,000","32,100","31,500","32,100","4,056,907"
2007-02-21 0:00,"32,350","33,100","32,300","32,750","7,752,967"
2007-02-22 0:00,"32,750","33,100","32,550","32,550","4,508,495"
2007-02-23 0:00,"32,800","33,000","31,900","32,300","5,905,518"
2007-02-26 0:00,"32,300","32,750","31,900","32,600","4,022,813"
2007-02-27 0:00,"32,450","32,450","31,700","31,950","4,572,140"
2007-02-28 0:00,"30,500","31,350","30,350","31,150","8,008,997"
2007-03-02 0:00,"30,850","31,900","30,850","31,400","4,201,766"
2007-03-05 0:00,"31,050","32,200","31,050","31,450","4,503,565"
2007-03-06 0:00,"31,950","32,200","31,850","32,100","3,650,845"
2007-03-07 0:00,"32,350","32,550","31,600","32,000","3,874,191"
